Date,Open
2019-02-26,125.53
2019-02-25,127.67
2019-02-22,121.08
2019-02-21,122.42
2019-02-20,123.39
2019-02-19,124.68
2019-02-15,129.55
2019-02-14,126.89
2019-02-13,127.12
2019-02-12,128.6
2019-02-11,129.19
2019-02-08,127.72
2019-02-07,124.45
2019-02-06,123.72
2019-02-05,123.42
2019-02-04,128.4
2019-02-01,126.03
2019-01-31,126.53
2019-01-30,123.28
2019-01-29,121.9
2019-01-28,123.06
2019-01-25,126.11
2019-01-24,130.92
2019-01-23,123.88
2019-01-22,122.82
2019-01-18,131.19
2019-01-17,133.02
2019-01-16,131.66
2019-01-15,126.87
2019-01-14,125.2
2019-01-11,119.09
2019-01-10,117.72
2019-01-09,117.01
2019-01-08,115.3
2019-01-07,113.56
2019-01-04,111.44
2019-01-03,112.22
2019-01-02,116.06
2018-12-31,117.8
2018-12-28,117.26
2018-12-27,115.18
2018-12-26,116.47
2018-12-24,118.27
2018-12-21,122.17
2018-12-20,124.07
2018-12-19,125.38
2018-12-18,124.23
2018-12-17,123.96
2018-12-14,118.6
2018-12-13,117.03
2018-12-12,116.78
2018-12-11,116.8
2018-12-10,117.64
2018-12-07,114.3
2018-12-06,116.68
2018-12-04,117.76
2018-12-03,118.46
2018-11-30,114.71
2018-11-29,115.49
2018-11-28,115.96
2018-11-27,115.83
2018-11-26,117.57
2018-11-23,117.21
2018-11-21,119.31
2018-11-20,119.55
2018-11-19,115.79
2018-11-16,118.71
2018-11-15,120.76
2018-11-14,120.68
2018-11-13,122.06
2018-11-12,121.35
2018-11-09,120.06
2018-11-08,121.85
2018-11-07,120.56
2018-11-06,119.93
2018-11-05,118.89
2018-11-02,115.73
2018-11-01,118.28
2018-10-31,117.64
2018-10-30,118.11
2018-10-29,120.83
2018-10-26,121.7
2018-10-25,125.26
2018-10-24,128.91
2018-10-23,126.54
2018-10-22,125.68
2018-10-19,124.94
2018-10-18,125.96
2018-10-17,130.65
2018-10-16,132.15
2018-10-15,128.32
2018-10-12,125.51
2018-10-11,130.85
2018-10-10,127.65
2018-10-09,128.98
2018-10-08,129.64
2018-10-05,130.28
2018-10-04,136.73
2018-10-03,136.33
2018-10-02,137.98
2018-10-01,141.52
2018-09-28,144.43
2018-09-27,142.1
2018-09-26,140.98
2018-09-25,137.68
2018-09-24,138.84
2018-09-21,141.55
2018-09-20,144.84
2018-09-19,145.19
2018-09-18,151.37
2018-09-17,150.95
2018-09-14,151.59
2018-09-13,150.64
2018-09-12,148.75
2018-09-11,147.88
2018-09-10,144.88
2018-09-07,145.87
2018-09-06,140.56
2018-09-05,142.22
2018-09-04,142.18
2018-08-31,146.91
2018-08-30,141.82
2018-08-29,140.76
2018-08-28,140.88
2018-08-27,144.85
2018-08-24,148.2
2018-08-23,147.38
2018-08-22,143.75
2018-08-21,144.7
2018-08-20,145.55
2018-08-17,146.01
2018-08-16,148.45
2018-08-15,148.4
2018-08-14,152.41
2018-08-13,159.03
2018-08-10,149.2
2018-08-09,138.61
2018-08-08,139.84
2018-08-07,138.94
2018-08-06,142.01
2018-08-03,146.19
2018-08-02,143.83
2018-08-01,142.77
2018-07-31,144.49
2018-07-30,141.57
2018-07-27,144.57
2018-07-26,142.18
2018-07-25,145.09
2018-07-24,145.94
2018-07-23,153.78
2018-07-20,152.72
2018-07-19,150.98
2018-07-18,154.25
2018-07-17,149.58
2018-07-16,148.16
2018-07-13,142.48
2018-07-12,138.22
2018-07-11,136.85
2018-07-10,139.26
2018-07-09,138.96
2018-07-06,141.02
2018-07-05,139.86
2018-07-03,134.57
2018-07-02,140.89
2018-06-29,141.72
2018-06-28,136.34
2018-06-27,131.3
2018-06-26,134.92
2018-06-25,134.66
2018-06-22,140.54
2018-06-21,139.94
2018-06-20,140.82
2018-06-19,139.35
2018-06-18,140.92
2018-06-15,140.92
2018-06-14,142.39
2018-06-13,141.74
2018-06-12,142.82
2018-06-11,138.93
2018-06-08,133.11
2018-06-07,133.84
2018-06-06,136.57
2018-06-05,132.58
2018-06-04,132.7
2018-06-01,134.53
2018-05-31,140.07
2018-05-30,143.89
2018-05-29,141.84
2018-05-25,140.78
2018-05-24,139.24
2018-05-23,135.61
2018-05-22,134.61
2018-05-21,134.02
2018-05-18,133.32
2018-05-17,134.78
2018-05-16,134.45
2018-05-15,136.76
2018-05-14,133.97
2018-05-10,129.35
2018-05-09,126.05
2018-05-08,125.1
2018-05-07,123.04
2018-05-04,127.37
2018-05-03,126.79
2018-05-02,122.42
2018-05-01,128.21
2018-04-30,130.77
2018-04-27,128.4
2018-04-26,127.08
2018-04-25,124.29
2018-04-24,126.5
2018-04-23,126.48
2018-04-20,133.07
2018-04-19,138.2
2018-04-18,146.26
2018-04-17,130.57
2018-04-16,131.47
2018-04-13,126.0
2018-04-12,122.29
2018-04-11,122.27
2018-04-10,121.25
2018-04-09,119.9
2018-04-06,122.39
2018-04-05,121.51
2018-04-04,119.23
2018-04-03,118.38
2018-04-02,119.68
2018-03-29,119.34
2018-03-28,128.33
2018-03-27,128.65
2018-03-26,128.96
2018-03-23,130.79
2018-03-22,131.52
2018-03-21,133.69
2018-03-20,139.52
2018-03-19,143.96
2018-03-16,147.35
2018-03-15,146.55
2018-03-14,141.66
2018-03-13,140.43
2018-03-12,141.98
2018-03-09,127.79
2018-03-08,129.62
2018-03-07,128.17
2018-03-06,128.41
2018-03-05,130.12
2018-03-02,127.48
2018-03-01,136.54
2018-02-28,138.95
2018-02-27,132.27
2018-02-26,131.72
2018-02-23,139.2
2018-02-22,134.31
2018-02-21,130.03
2018-02-20,131.63
2018-02-16,137.8
2018-02-15,131.67
2018-02-14,127.84
2018-02-13,143.07
2018-02-12,148.02
2018-02-09,128.51
2018-02-08,130.92
2018-02-07,136.9
2018-02-06,129.61
2018-02-05,117.33
