,0
2013-02-01,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-05,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-05,0.4858906881441988
2013-08-06,0.492679141079109
2013-08-07,0.4898176375607041
2013-08-08,0.46376103895479126
2013-08-09,0.4720392876085505
2013-08-12,0.48714720363783
2013-08-13,0.46507822612074606
2013-08-14,0.4730992488156282
2013-08-15,0.4515232839070689
2013-08-16,0.4520350243260564
2013-08-19,0.4319874746051
2013-08-20,0.4233076656834727
2013-08-21,0.4325890875824546
2013-08-22,0.41268101811194974
2013-08-23,0.4049310730995147
2013-08-26,0.4143450093215335
2013-08-27,0.4289417081700997
2013-08-28,0.419732664409331
2013-08-29,0.40118016500397474
2013-08-30,0.40888948382899876
2013-09-03,0.3945698256008071
2013-09-04,0.3885592250209078
2013-09-05,0.3742993999881488
2013-09-06,0.3682657802001594
2013-09-09,0.357327821043571
2013-09-10,0.3502466952914564
2013-09-11,0.3427450372905962
2013-09-12,0.3334286405598791
2013-09-13,0.33399749365050135
2013-09-16,0.3191723246956632
2013-09-17,0.310293518142049
2013-09-18,0.3045322116115897
2013-09-19,0.29844874090305973
2013-09-20,0.3038320025901221
2013-09-23,0.3144573658007751
2013-09-24,0.31613591624693366
2013-09-25,0.31360193027698463
2013-09-26,0.30432310216513075
2013-09-27,0.3119648221664783
2013-09-30,0.3125105392572101
2013-10-01,0.30357138402878525
2013-10-02,0.28928507354897487
2013-10-03,0.2980459758129818
2013-10-04,0.28846950064752624
